File name,File Path,Link File,Repo name
4BitAdderAndGrover.qs,4BitAdderAndGrover/4BitAdderAndGrover.qs,https://github.com/ptahmose/QSharp-Playground/blob/1064c46439b1716b89988db2a6226757582bde46/4BitAdderAndGrover/4BitAdderAndGrover.qs,ptahmose/QSharp-Playground
Program.qs,GroverTest/Program.qs,https://github.com/ptahmose/QSharp-Playground/blob/1064c46439b1716b89988db2a6226757582bde46/GroverTest/Program.qs,ptahmose/QSharp-Playground
Operation.qs,QSharpApplication1/Operation.qs,https://github.com/ptahmose/QSharp-Playground/blob/1064c46439b1716b89988db2a6226757582bde46/QSharpApplication1/Operation.qs,ptahmose/QSharp-Playground
Utils.qs,utilities/Common/Utils.qs,https://github.com/microsoft/QuantumKatas/blob/c687c3680dfa8ac30842e664b4f6b8b012478e0b/utilities/Common/Utils.qs,microsoft/QuantumKatas
Tests.qs,GraphColoring/Tests.qs,https://github.com/microsoft/QuantumKatas/blob/a25f627f1493cd268dc18c1d8ae721fe26a6618b/GraphColoring/Tests.qs,microsoft/QuantumKatas
ReferenceImplementation.qs,GraphColoring/ReferenceImplementation.qs,https://github.com/microsoft/QuantumKatas/blob/a25f627f1493cd268dc18c1d8ae721fe26a6618b/GraphColoring/ReferenceImplementation.qs,microsoft/QuantumKatas
Tasks.qs,GraphColoring/Tasks.qs,https://github.com/microsoft/QuantumKatas/blob/a25f627f1493cd268dc18c1d8ae721fe26a6618b/GraphColoring/Tasks.qs,microsoft/QuantumKatas
Operations.qs,utilities/DumpUnitary/Operations.qs,https://github.com/microsoft/QuantumKatas/blob/6879b86795572670e5cf04176ac400e24b569622/utilities/DumpUnitary/Operations.qs,microsoft/QuantumKatas
TestOperations.qs,utilities/DumpUnitary/TestOperations.qs,https://github.com/microsoft/QuantumKatas/blob/6879b86795572670e5cf04176ac400e24b569622/utilities/DumpUnitary/TestOperations.qs,microsoft/QuantumKatas
Tasks.qs,BoundedKnapsack/Tasks.qs,https://github.com/microsoft/QuantumKatas/blob/fc459a75d96a8a0c89f5362e91032885d22d8f8c/BoundedKnapsack/Tasks.qs,microsoft/QuantumKatas
ReferenceImplementation.qs,KeyDistribution_BB84/ReferenceImplementation.qs,https://github.com/microsoft/QuantumKatas/blob/fc459a75d96a8a0c89f5362e91032885d22d8f8c/KeyDistribution_BB84/ReferenceImplementation.qs,microsoft/QuantumKatas
Backend.qs,tutorials/QuantumClassification/Backend.qs,https://github.com/microsoft/QuantumKatas/blob/fc459a75d96a8a0c89f5362e91032885d22d8f8c/tutorials/QuantumClassification/Backend.qs,microsoft/QuantumKatas
Tests.qs,tutorials/VisualizationTools/Tests.qs,https://github.com/microsoft/QuantumKatas/blob/fc459a75d96a8a0c89f5362e91032885d22d8f8c/tutorials/VisualizationTools/Tests.qs,microsoft/QuantumKatas
Tasks.qs,KeyDistribution_BB84/Tasks.qs,https://github.com/microsoft/QuantumKatas/blob/fc459a75d96a8a0c89f5362e91032885d22d8f8c/KeyDistribution_BB84/Tasks.qs,microsoft/QuantumKatas
Tests.qs,QEC_BitFlipCode/Tests.qs,https://github.com/microsoft/QuantumKatas/blob/63b7494167b9d70906414934ef074057f8e16caa/QEC_BitFlipCode/Tests.qs,microsoft/QuantumKatas
Tests.qs,DistinguishUnitaries/Tests.qs,https://github.com/microsoft/QuantumKatas/blob/63b7494167b9d70906414934ef074057f8e16caa/DistinguishUnitaries/Tests.qs,microsoft/QuantumKatas
Tasks.qs,tutorials/VisualizationTools/Tasks.qs,https://github.com/microsoft/QuantumKatas/blob/63b7494167b9d70906414934ef074057f8e16caa/tutorials/VisualizationTools/Tasks.qs,microsoft/QuantumKatas
ReferenceImplementation.qs,TruthTables/ReferenceImplementation.qs,https://github.com/microsoft/QuantumKatas/blob/63b7494167b9d70906414934ef074057f8e16caa/TruthTables/ReferenceImplementation.qs,microsoft/QuantumKatas
Tests.qs,Teleportation/Tests.qs,https://github.com/microsoft/QuantumKatas/blob/9cb7c1c031cf180a3af992fe1e8123ddd979494a/Teleportation/Tests.qs,microsoft/QuantumKatas
ReferenceImplementation.qs,Teleportation/ReferenceImplementation.qs,https://github.com/microsoft/QuantumKatas/blob/9cb7c1c031cf180a3af992fe1e8123ddd979494a/Teleportation/ReferenceImplementation.qs,microsoft/QuantumKatas
Tasks.qs,Teleportation/Tasks.qs,https://github.com/microsoft/QuantumKatas/blob/9cb7c1c031cf180a3af992fe1e8123ddd979494a/Teleportation/Tasks.qs,microsoft/QuantumKatas
ReferenceImplementation.qs,tutorials/ExploringDeutschJozsaAlgorithm/ReferenceImplementation.qs,https://github.com/microsoft/QuantumKatas/blob/03589f73013b21d52c8189d2ba87b7b51c86729b/tutorials/ExploringDeutschJozsaAlgorithm/ReferenceImplementation.qs,microsoft/QuantumKatas
Tests.qs,BoundedKnapsack/Tests.qs,https://github.com/microsoft/QuantumKatas/blob/17f9425b4be050baa3ed4c7cf06175eaa8d6f23b/BoundedKnapsack/Tests.qs,microsoft/QuantumKatas
ReferenceImplementation.qs,BoundedKnapsack/ReferenceImplementation.qs,https://github.com/microsoft/QuantumKatas/blob/5b32de96a72657169d3083e56a1c0c7b0da82c85/BoundedKnapsack/ReferenceImplementation.qs,microsoft/QuantumKatas
ReferenceImplementation.qs,tutorials/VisualizationTools/ReferenceImplementation.qs,https://github.com/microsoft/QuantumKatas/blob/30de4876184622eb14e2ddf0085bb550c6d32d57/tutorials/VisualizationTools/ReferenceImplementation.qs,microsoft/QuantumKatas
Tests.qs,tutorials/RandomNumberGeneration/Tests.qs,https://github.com/microsoft/QuantumKatas/blob/5e3b5c8aa2372d53b0c50df2a505c979294af7e2/tutorials/RandomNumberGeneration/Tests.qs,microsoft/QuantumKatas
ReferenceImplementation.qs,tutorials/RandomNumberGeneration/ReferenceImplementation.qs,https://github.com/microsoft/QuantumKatas/blob/5e3b5c8aa2372d53b0c50df2a505c979294af7e2/tutorials/RandomNumberGeneration/ReferenceImplementation.qs,microsoft/QuantumKatas
Tasks.qs,tutorials/RandomNumberGeneration/Tasks.qs,https://github.com/microsoft/QuantumKatas/blob/51e8ace939a32adfb1096e633d8ed56955e36d34/tutorials/RandomNumberGeneration/Tasks.qs,microsoft/QuantumKatas
ReferenceImplementation.qs,BasicGates/ReferenceImplementation.qs,https://github.com/microsoft/QuantumKatas/blob/fb048f3d6e46f48788d54cdc93087967ab12049f/BasicGates/ReferenceImplementation.qs,microsoft/QuantumKatas
Tasks.qs,QFT/Tasks.qs,https://github.com/microsoft/QuantumKatas/blob/fb048f3d6e46f48788d54cdc93087967ab12049f/QFT/Tasks.qs,microsoft/QuantumKatas
ReferenceImplementation.qs,tutorials/MultiQubitSystems/ReferenceImplementation.qs,https://github.com/microsoft/QuantumKatas/blob/fb048f3d6e46f48788d54cdc93087967ab12049f/tutorials/MultiQubitSystems/ReferenceImplementation.qs,microsoft/QuantumKatas
Tasks.qs,GHZGame/Tasks.qs,https://github.com/microsoft/QuantumKatas/blob/fb048f3d6e46f48788d54cdc93087967ab12049f/GHZGame/Tasks.qs,microsoft/QuantumKatas
Tasks.qs,QEC_BitFlipCode/Tasks.qs,https://github.com/microsoft/QuantumKatas/blob/fb048f3d6e46f48788d54cdc93087967ab12049f/QEC_BitFlipCode/Tasks.qs,microsoft/QuantumKatas
ReferenceImplementation.qs,JointMeasurements/ReferenceImplementation.qs,https://github.com/microsoft/QuantumKatas/blob/fb048f3d6e46f48788d54cdc93087967ab12049f/JointMeasurements/ReferenceImplementation.qs,microsoft/QuantumKatas
Tests.qs,tutorials/MultiQubitGates/Tests.qs,https://github.com/microsoft/QuantumKatas/blob/fb048f3d6e46f48788d54cdc93087967ab12049f/tutorials/MultiQubitGates/Tests.qs,microsoft/QuantumKatas
