,Repo name,Private,Owner Name,Owner Link,Owner Type,Repo Link,Description,Created at,Updated at,Pushed at,Watchers Count,Language,Size,Forks Count,License Name,Is template,Open Issues,Languages
0,ptahmose/QSharp-Playground,False,ptahmose,https://github.com/ptahmose,User,https://github.com/ptahmose/QSharp-Playground,Playing around with Q#,2018-01-03 22:04:22 UTC,2020-10-22 23:00:46 UTC,2020-10-22 23:00:43 UTC,0,C#,53,1,"BSD 3-Clause ""New"" or ""Revised"" License",False,0,"[:""C#"", :""Q#""]"
1,microsoft/QuantumKatas,False,microsoft,https://github.com/microsoft,Organization,https://github.com/microsoft/QuantumKatas,Tutorials and programming exercises for learning Q# and quantum computing,2018-06-06 20:02:33 UTC,2021-12-06 17:00:20 UTC,2021-12-06 20:10:28 UTC,3700,Jupyter Notebook,30966,990,MIT License,False,26,"[:""Jupyter Notebook"", :""Q#"", :""C#"", :Python, :TeX, :PowerShell, :Dockerfile, :Shell]"
2,ahelwer/quantum-experiments,False,ahelwer,https://github.com/ahelwer,User,https://github.com/ahelwer/quantum-experiments,Q# code snippets written when exploring quantum computing concepts,2018-07-31 18:11:07 UTC,2020-12-10 16:41:16 UTC,2020-12-10 16:41:13 UTC,1,Q#,19,2,MIT License,False,0,"[:""Q#"", :""C#""]"
3,microsoft/QuantumLibraries,False,microsoft,https://github.com/microsoft,Organization,https://github.com/microsoft/QuantumLibraries,Q# libraries for the Quantum Development Kit,2018-10-23 18:26:23 UTC,2021-12-04 14:53:43 UTC,2021-12-06 20:10:29 UTC,403,Q#,13368,156,MIT License,False,59,"[:""Q#"", :""C#"", :Python, :""Jupyter Notebook"", :PowerShell, :Batchfile]"
4,PacktPublishing/Learn-Q-Programming---Fundamentals-of-Q-,False,PacktPublishing,https://github.com/PacktPublishing,Organization,https://github.com/PacktPublishing/Learn-Q-Programming---Fundamentals-of-Q-,Learn Q# Programming - Fundamentals of Q#,2018-12-03 12:33:06 UTC,2021-10-04 20:52:40 UTC,2021-01-18 06:37:05 UTC,13,C#,813,4,MIT License,False,0,"[:""C#"", :""Q#""]"
5,tcNickolas/MiscQSharp,False,tcNickolas,https://github.com/tcNickolas,User,https://github.com/tcNickolas/MiscQSharp,Miscellaneous Q# code fragments,2018-11-29 19:33:48 UTC,2021-12-02 08:49:20 UTC,2021-12-02 08:49:17 UTC,5,Q#,46,4,-,False,0,"[:""Q#"", :""C#"", :""Visual Basic .NET"", :""F#""]"
6,jwulf/HGate,False,jwulf,https://github.com/jwulf,User,https://github.com/jwulf/HGate,Microsoft Q# SDK Demo showing quantum weirdness,2018-09-19 15:37:31 UTC,2021-08-16 11:21:57 UTC,2021-03-18 23:22:51 UTC,6,Q#,12,3,-,False,0,"[:""Q#"", :""C#""]"
7,zysbzddsj/Q_Sharp_Applications,False,zysbzddsj,https://github.com/zysbzddsj,User,https://github.com/zysbzddsj/Q_Sharp_Applications,本项目是关于微软量子模拟语言Q#的应用。,2019-01-15 02:50:15 UTC,2020-12-10 05:08:29 UTC,2020-12-10 05:08:27 UTC,0,Q#,6,0,-,False,0,"[:""Q#"", :""C#""]"
8,microsoft/qsharp-compiler,False,microsoft,https://github.com/microsoft,Organization,https://github.com/microsoft/qsharp-compiler,"Q# compiler, command line tool, and Q# language server",2019-06-07 18:48:01 UTC,2021-12-02 23:49:30 UTC,2021-12-06 20:10:23 UTC,541,C#,175906,133,MIT License,False,153,"[:""C#"", :""F#"", :""Q#"", :LLVM, :TypeScript, :PowerShell, :ANTLR, :Dockerfile]"
9,microsoft/qsharp-runtime,False,microsoft,https://github.com/microsoft,Organization,https://github.com/microsoft/qsharp-runtime,Runtime components for Q#,2019-06-06 17:20:46 UTC,2021-12-06 20:06:54 UTC,2021-12-06 20:10:24 UTC,222,C#,32352,72,MIT License,False,119,"[:""C#"", :""C++"", :""Q#"", :Rust, :Mathematica, :Makefile, :""F#"", :PowerShell, :CMake, :Python, :""Jupyter Notebook"", :LLVM, :Shell, :C, :HTML, :Dockerfile]"
10,crazy4pi314/learn-qc-with-python-and-qsharp,False,crazy4pi314,https://github.com/crazy4pi314,User,https://github.com/crazy4pi314/learn-qc-with-python-and-qsharp,Companion code for Learn Quantum Computing with Python and Q# Book by Dr. Sarah Kaiser and Dr. Chris Granade 💖,2019-04-30 02:15:58 UTC,2021-11-23 19:36:07 UTC,2021-09-11 14:05:41 UTC,43,Jupyter Notebook,133,22,MIT License,False,3,"[:""Jupyter Notebook"", :Python, :""Q#"", :Dockerfile]"
11,qsharp-community/qsharp-integrations,False,qsharp-community,https://github.com/qsharp-community,Organization,https://github.com/qsharp-community/qsharp-integrations,These samples demonstrate how to integrate with the Q# language or compilers,2019-05-07 22:05:50 UTC,2021-11-17 11:38:07 UTC,2021-08-26 17:32:27 UTC,15,C#,25356,4,MIT License,False,0,"[:""C#"", :""Q#"", :""Jupyter Notebook"", :OpenQASM]"
12,tsmatz/Quantum-Shor-Algorithm,False,tsmatz,https://github.com/tsmatz,User,https://github.com/tsmatz/Quantum-Shor-Algorithm,Q# Example for Shor's Algorithm,2019-06-04 09:41:46 UTC,2021-10-09 21:33:32 UTC,2021-10-09 21:33:23 UTC,4,C#,283,0,-,False,0,"[:""C#"", :""Q#""]"
13,tsmatz/Quantum-Phase-Estimation-QSharp,False,tsmatz,https://github.com/tsmatz,User,https://github.com/tsmatz/Quantum-Phase-Estimation-QSharp,Q# Example for Quantum Phase Estimation,2019-04-26 03:23:00 UTC,2021-10-09 21:34:59 UTC,2021-10-09 21:34:51 UTC,2,C#,363,1,-,False,0,"[:""C#"", :""Q#""]"
14,tsmatz/Quantum-Arithmetic-QSharp,False,tsmatz,https://github.com/tsmatz,User,https://github.com/tsmatz/Quantum-Arithmetic-QSharp,"Q# Example for Basic Quantum Arithmetics (Adder, Substracter, Multiplier, and Exponentiation)",2019-05-22 10:06:24 UTC,2021-11-17 10:18:34 UTC,2021-10-09 21:34:11 UTC,4,C#,419,0,-,False,0,"[:""C#"", :""Q#""]"
15,microsoft/grover-blocks,False,microsoft,https://github.com/microsoft,Organization,https://github.com/microsoft/grover-blocks,Implementations of Grover oracles for the block ciphers AES and LowMC in the quantum-focused programming language Q#,2019-09-06 18:40:42 UTC,2021-09-19 11:52:06 UTC,2020-09-29 17:00:46 UTC,10,Q#,146,12,MIT License,False,0,"[:""Q#"", :Python, :""C#"", :Makefile]"
16,ShahinHonarvar/QSharpCheck,False,ShahinHonarvar,https://github.com/ShahinHonarvar,User,https://github.com/ShahinHonarvar/QSharpCheck,QSharpCheck is a property-based testing framework of quantum programs in Q#,2019-12-31 21:41:24 UTC,2020-10-04 23:11:43 UTC,2020-10-04 23:11:41 UTC,0,Q#,3828,0,MIT License,False,0,"[:""Q#"", :""C#"", :Shell]"
17,DavidJNichol/ALGORITHMS-Q-,False,DavidJNichol,https://github.com/DavidJNichol,User,https://github.com/DavidJNichol/ALGORITHMS-Q-,Generates a quantum 16-bit random number through Q# and C#.,2019-12-02 20:45:09 UTC,2020-10-22 22:33:49 UTC,2020-10-22 22:33:47 UTC,0,C#,16831,0,-,False,0,"[:""C#"", :""Q#""]"
18,vm6502q/qrack-qsharp-runtime,False,vm6502q,https://github.com/vm6502q,Organization,https://github.com/vm6502q/qrack-qsharp-runtime,Qrack Q# runtime NuGet package source,2020-03-04 01:26:12 UTC,2021-05-19 00:31:25 UTC,2021-07-18 17:58:58 UTC,0,C#,2593,0,MIT License,False,0,"[:""C#"", :""Q#"", :Mathematica]"
19,lorenzobilli/Quantum-Teleport,False,lorenzobilli,https://github.com/lorenzobilli,User,https://github.com/lorenzobilli/Quantum-Teleport,Demo of quantum teleport written in Q#,2020-04-27 10:10:45 UTC,2021-03-11 22:00:34 UTC,2021-03-11 22:00:32 UTC,0,Q#,5,1,MIT License,False,0,"[:""Q#"", :""C#""]"
